Barcode NO.,Isc(A),Voc(V),Imp(A),Vmp(V),Pmax(W),Carton NO.,Pallet NO.,Cable Length,Connector,Country of Origin,Current Sorting
11702050481785,9.24,45.32,8.71,36.68,319.50,170520204468,21,1160mm,PV2b,CN,I3
11702050480978,9.20,45.34,8.77,36.24,317.80,170520204468,21,1160mm,PV2b,CN,I3
11702050481909,9.23,45.33,8.76,36.22,317.20,170520204468,21,1160mm,PV2b,CN,I3
11702050442416,9.21,45.22,8.78,36.16,317.50,170520204468,21,1160mm,PV2b,CN,I3
11702050211789,9.18,45.48,8.74,36.59,319.80,170520204468,21,1160mm,PV2b,CN,I3
11702050020452,9.09,45.49,8.71,36.34,316.50,170520204468,21,1160mm,PV2b,CN,I3
11702050401600,9.22,45.35,8.74,36.52,319.20,170520204468,21,1160mm,PV2b,CN,I3
11702050400710,9.09,45.23,8.73,36.43,318.00,170520204468,21,1160mm,PV2b,CN,I3
11702050401561,9.27,45.23,8.78,36.29,318.70,170520204468,21,1160mm,PV2b,CN,I3
11702050400268,9.17,45.33,8.71,36.52,318.10,170520204468,21,1160mm,PV2b,CN,I3
11702050481873,9.20,45.37,8.78,36.30,318.80,170520204495,22,1160mm,PV2b,CN,I3
11702050510999,9.22,45.51,8.71,36.68,319.50,170520204495,22,1160mm,PV2b,CN,I3
11702050511705,9.32,45.61,8.86,36.12,320.00,170520204495,22,1160mm,PV2b,CN,I3
11702050531112,9.27,45.43,8.87,36.08,319.90,170520204495,22,1160mm,PV2b,CN,I3
11702050531009,9.25,45.46,8.86,36.05,319.50,170520204495,22,1160mm,PV2b,CN,I3
11702050530986,9.27,45.38,8.87,35.98,319.30,170520204495,22,1160mm,PV2b,CN,I3
11702050530906,9.24,45.45,8.82,36.27,319.80,170520204495,22,1160mm,PV2b,CN,I3
11702050531011,9.26,45.37,8.82,36.30,320.00,170520204495,22,1160mm,PV2b,CN,I3
11702050530733,9.23,45.42,8.82,36.20,319.30,170520204495,22,1160mm,PV2b,CN,I3
11702050530989,9.27,45.37,8.85,36.03,318.80,170520204495,22,1160mm,PV2b,CN,I3
11702050560506,9.16,45.61,8.77,36.44,319.50,170520204495,22,1160mm,PV2b,CN,I3
11702050580396,9.20,45.14,8.75,36.12,316.10,170520204495,22,1160mm,PV2b,CN,I3
11702050550073,9.30,45.46,8.86,36.09,319.70,170520204495,22,1160mm,PV2b,CN,I3
11702050550235,9.25,45.43,8.84,36.11,319.40,170520204495,22,1160mm,PV2b,CN,I3
11702050550224,9.22,45.53,8.82,36.20,319.40,170520204495,22,1160mm,PV2b,CN,I3
11702050550236,9.23,45.53,8.87,36.01,319.30,170520204495,22,1160mm,PV2b,CN,I3
11702050550220,9.23,45.53,8.79,36.29,319.10,170520204495,22,1160mm,PV2b,CN,I3
11702050550281,9.31,45.40,8.84,36.01,318.20,170520204495,22,1160mm,PV2b,CN,I3
11702050550379,9.27,45.53,8.83,36.15,319.30,170520204495,22,1160mm,PV2b,CN,I3
11702050550361,9.26,45.47,8.86,36.10,319.90,170520204495,22,1160mm,PV2b,CN,I3
11702050580389,9.26,45.33,8.86,36.13,320.00,170520204495,22,1160mm,PV2b,CN,I3
11702050580401,9.18,45.26,8.76,36.21,317.10,170520204495,22,1160mm,PV2b,CN,I3
11702050580140,9.24,45.41,8.85,36.10,319.50,170520204495,22,1160mm,PV2b,CN,I3
11702050580467,9.23,45.24,8.79,35.96,316.20,170520204495,22,1160mm,PV2b,CN,I3
11702050580420,9.14,45.26,8.76,36.25,317.60,170520204495,22,1160mm,PV2b,CN,I3
11702050580393,9.23,45.32,8.76,36.17,316.90,170520204495,22,1160mm,PV2b,CN,I3
11702050580582,9.23,45.31,8.71,36.52,318.10,170520204636,23,1160mm,PV2b,CN,I3
11702050580571,9.25,45.24,8.80,36.13,317.80,170520204636,23,1160mm,PV2b,CN,I3
11702050580517,9.22,45.24,8.75,36.27,317.50,170520204636,23,1160mm,PV2b,CN,I3
11702050580477,9.25,45.23,8.85,36.04,318.90,170520204636,23,1160mm,PV2b,CN,I3
11702050580473,9.26,45.27,8.80,36.20,318.70,170520204636,23,1160mm,PV2b,CN,I3
11702050580534,9.23,45.27,8.78,36.12,317.20,170520204636,23,1160mm,PV2b,CN,I3
11702050530363,9.24,45.29,8.77,36.18,317.50,170520204636,23,1160mm,PV2b,CN,I3
